trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Happy Friday Eve,0,37,25,0,0,0,0,0,100,26,28,0,0,0,0,49
Canada,79,80,79,79,84,89,87,79,89,82,82,78,84,90,90,100
Nike Epic React Flyknit,6,7,13,7,10,10,6,12,7,15,15,14,18,20,31,100
Drew Barrymore,30,28,100,91,83,58,44,41,40,43,52,57,43,42,38,63
USA Curling,2,15,28,40,36,20,13,23,42,28,29,27,62,44,57,100
Tracy McGrady,16,38,36,23,20,32,19,27,55,53,100,39,38,26,24,26
Logan Circle,32,40,14,30,8,40,27,46,14,14,31,23,20,20,39,100
Toys R Us,70,71,75,100,90,68,64,55,55,68,94,86,70,62,64,81
Andrew Cuomo,97,32,30,27,21,24,51,35,52,100,24,15,27,24,29,37
tracy mcgrady,16,38,36,23,20,32,19,27,55,53,100,39,38,26,24,26
Face the Nation,7,6,6,7,79,18,5,2,7,7,11,100,43,7,13,44
Sweet Dreams,72,75,83,84,88,77,83,80,78,83,93,92,75,81,88,100
Medicare Extra,16,49,42,19,19,25,41,57,100,17,19,19,16,48,65,74
Roxanne Roxanne,69,63,65,67,62,100,71,52,57,58,64,61,61,88,83,83
NRA Chief,0,0,5,0,0,4,0,0,0,5,10,0,4,0,4,100
Joyce McLain,0,0,0,0,0,20,20,0,0,0,0,0,20,20,0,100
Scripted Question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Metro Center,80,76,90,78,84,84,100,82,95,93,93,77,92,84,84,100
Janelle Mon\xe1e,80,76,90,78,84,84,100,82,95,93,93,77,92,84,84,100
EA Play,66,51,32,35,75,21,46,41,47,58,53,81,41,40,30,77
U.S. Capitol Rotunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
